tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
10000000,3,1,10000,0,10,0,100,0,172800,1,60,0,428021763425737437158461,0,23860389042865760856599,65526920610567738066712833,67203009294929120000000000,67607170470306000000000000,0,0,0,0,3999999974782,0
10000000,4,0,0,0,10,0,100,0,172800,1,60,148045403708374388121010,727821455431373429179504,0,238972058700347810829729,64813351857603922515094919,68766994951871590000000000,69403889468348000000000000,0,0,0,0,4009999974600,0
10000000,4,0,5000,0,10,0,100,0,172800,1,60,73987349443439364672531,750957528705418309660816,0,179409828276464982976365,64658608919166774606376031,69158714427046590000000000,69804249184857000000000000,0,0,0,0,4009999974636,0
10000000,4,0,10000,0,10,0,100,0,172800,1,60,0,748878462479450755706686,0,121695409740938226098456,64499052944176531406229563,69345388270336440000000000,69953872647825000000000000,0,0,0,0,11691482106058226098573,6383257001198582467785
10000000,4,1,0,0,10,0,100,0,172800,1,60,142031494012907704405865,712289074198441881293891,0,244814545513907200775812,60197765247782239458599109,59767482193684540000000000,60376987922319000000000000,0,0,0,0,4009999974631,0
10000000,4,1,5000,0,10,0,100,0,172800,1,60,70903504771413077472090,721983789064273679475993,0,180380764629567145013818,60337277071715296686738147,60433276847477860000000000,61045783074879000000000000,0,0,0,0,4009999974633,0
10000000,4,1,10000,0,10,0,100,0,172800,1,60,0,726408989143236848473056,0,121300699028433793868430,60489021235225641032879055,60662066478306550000000000,61254421613824000000000000,0,0,0,0,5394504344058793868540,3759441156205575666981
1000000,0,0,0,0,10,0,100,0,172800,1,60,7346318048991544088897,38458170586328698087869,0,0,4907747940844340485527415,4893957757270100000000000,4881353477106000000000000,0,0,0,0,8727192589747929471156,13233019522991282121114
1000000,0,0,5000,0,10,0,100,0,172800,1,60,3664135423558963140288,38458170586328698087869,0,0,4904834634736900955219302,4893957757270100000000000,4868813369460000000000000,0,0,0,0,10344596419263742905640,15297798036311282121114
1000000,0,0,10000,0,10,0,100,0,172800,1,60,0,38458170586328698087869,0,0,4901932023803171822778140,4893957757270100000000000,4854316607710000000000000,0,0,0,0,11621782181519999999999,17684747416571282121114
1000000,0,1,0,0,10,0,100,0,172800,1,60,7346322837953634060664,38374726698766698444913,0,0,4907542386683244939734191,4893834189532650000000000,4881110608637000000000000,0,0,0,0,8687838312625839499389,13232332705775643466277
1000000,0,1,5000,0,10,0,100,0,172800,1,60,3664137817935872132793,38374726698766698444913,0,0,4904629080575805409426078,4893834189532650000000000,4868571144769000000000000,0,0,0,0,10305350327376833913135,15297005428445643466277
1000000,0,1,10000,0,10,0,100,0,172800,1,60,0,38374726698766698444913,0,0,4901726469642076276984916,4893834189532650000000000,4854075125942000000000000,0,0,0,0,11582660566529999999999,17683832726185643466277
1000000,1,0,0,0,10,0,100,0,172800,1,60,9301175964316440534026,48561429482150554888436,0,0,6986667631100897768134859,6974365264275220000000000,6958120759594000000000000,0,0,0,0,10956784536199316481492,16766758445690397391723
1000000,1,0,5000,0,10,0,100,0,172800,1,60,4642505981210121953672,48589974885424705032513,0,0,6974417238666574742633738,6965592696940170000000000,6930194904931000000000000,0,0,0,0,12475193953043770503325,19928686808916337293707
